address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Manali, Himachal Pradesh, India",False,32.2233,77.18228,HighQ Manali / Deluxe Room,3,8946,Room in hotel,
"Manali, Himachal Pradesh, India",False,32.22352,77.18152,Highq manali / 3 BHK Cottage,9,9124,Room in hotel,
"Goa, India",False,15.504,73.866,Best view of the river from your terrace 04,4,9900,Private room in home,4.0
"Bhuntar, Himachal Pradesh, India",False,31.88656,77.14467,Shabashe,1,8684,Shared room in rental unit,
"Jaipur, Rajasthan, India",False,26.85991,75.66909,Luxurious Independent Studio with Wifi & Kitchen,1,20690,Entire condo,4.75
"Bhuntar, Himachal Pradesh, India",False,32.01248,77.29114,Aman Palace Guest House Kasol With Super Deluxe Room,3,4274,Room in hotel,
"Bhuntar, Himachal Pradesh, India",False,32.01204,77.2909,Aman Palace Guest House Kasol With Deluxe Room,2,4274,Room in hotel,
"Gurugram, Haryana, India",True,28.36673,77.00647,Boutique destination wedding experience  50pax pkg,16,1734,Farm stay,
"Ganaheda, Rajasthan, India",False,26.49372,74.5383,Lux farm resort with pool - Villa,12,1804,Farm stay,
"Banjar, Himachal Pradesh, India",False,31.63839,77.34503,Deluxe Room,3,2822,Room in hotel,
"Morjim, Goa, India",False,15.62707,73.7327,"Vedatmana By The Waves, Morjim",12,902,Entire villa,
"Gurugram, Haryana, India",False,28.35517,77.00426,Marriage  Or Party Full Resort For 30 Persons,16,1443,Farm stay,
"Awas, Maharashtra, India",False,18.76514,72.87878,StayVista - Pranaam - 6Bhk Luxury Alibaug,15,912,Entire villa,
"Bengaluru, Karnataka, India",False,13.12752,77.56391,Luxury PoolSide Heritage Villa in Lap of Nature,16,882,Private room in resort,
"Sangolda, Goa, India",False,15.54799,73.81177,12 BR Mansion | Big Groups | Private Pool | Scenic,16,1374,Entire villa,
"Rishikesh, Uttarakhand, India",False,30.13704,78.30683,An extravagant Pushp villa overlooking the Ganges,8,788,Entire villa,
"Parra, Goa, India",True,15.57329,73.7767,Perfect for Big Groups! 8BR Villa w Pool in Parra,16,978,Entire villa,
"New Delhi, Delhi, India",False,28.496,77.166,Brookwood Gardens Wedding Guest Rooms,16,962,Farm stay,
"Aru, India",False,34.09091,75.26407,Pahalgham Cottage Next to the River,10,782,Entire cottage,
"North Goa, Goa, India",False,15.56203,73.78613,Crystal Village 10 Bedroom Pvt Pool villa Nagoa,16,854,Entire home,
"Mararikulam, Kerala, India",False,9.58429,76.3051,Flamingo lovely boutique villa 11 bed Luxury Space,16,1443,Entire home,
"Awas, Maharashtra, India",True,18.76034,72.88551,10 BHK Luxury Villa w Pool - Modern Cottage Style,16,1325,Entire villa,4.89
"Canacona, Goa, India",True,14.9939,74.0571,"6 BHK Villa W/pool,wifi- LuaCheia,canacona , Goa",13,1220,Entire villa,
"Nainital, Uttarakhand, India",False,29.38514,79.45673,"Luxury Entire Heritage Villa, Wifi",16,842,Entire villa,
"Pathau, Uttarakhand, India",False,30.1373,78.30656,A majestic luxurious villa overlooking the Ganges,8,913,Entire villa,
"Anjuna, Goa, India",False,15.58917,73.75996,Azara Serenidad 5BHK Private Pool Villa in Anjuna,10,1185,Entire villa,
"Nathuwakhan, Uttarakhand, India",True,29.47118,79.58584,Homfortable Loshgyani Estate-Rustic forest retreat,12,1118,Farm stay,
"Manali, Himachal Pradesh, India",True,32.29923,77.17704,Entire boutique stay with 8 rooms Khvaab Manali,16,962,Room in boutique hotel,
"Loutolim, Goa, India",False,15.33419,73.97759,Casa Susegad - Restored Indo-Portuguese Mansion,14,902,Entire villa,
"Candolim, Goa, India",False,15.51782,73.76411,8BHK(2X4) Super Luxurious @candolim,16,782,Entire serviced apartment,
"Karjat, Maharashtra, India",False,18.91863,73.33386,Private Pool Villa with meals for 10+ guests.,16,962,Entire villa,
"Assagao, Goa, India",False,15.59765,73.77297,Assagao Bay: Luxury Villa by the Rose Nomad,8,842,Entire villa,
"Panna, Madhya Pradesh, India",False,24.71172,80.17358,"Mohan Niwas Palace, A Heritage Homestay in Panna.",8,1443,Entire villa,
"Nashik, Maharashtra, India",False,20.07376,73.64485,Welcome to 16 Bedroom Gem hidden in Nature!,16,1082,Farm stay,
"Mumbai, Maharashtra, India",False,18.92245,72.83399,45 foot 3BR Yacht at Mumbai Harbour,8,1503,Boat,
"Kullu, Himachal Pradesh, India",False,32.03766,77.14406,"Himalayan Kothi, Kais",2,1203,Room in boutique hotel,
"Lonavla, Maharashtra, India",False,18.70197,73.45109,StayVista at 5 rooms @ Vyoman,10,1004,Private room in villa,
"Lonavla, Maharashtra, India",False,18.77152,73.37963,PALACIO   LONAVALA,12,902,Entire villa,
"Nerul, Goa, India",False,15.50637,73.79914,22BHK(5+5+6+6) PRIVATE POOL VILLA near CANDOLIM,16,1203,Entire villa,
"SALIGAO, Goa, India",False,15.5554,73.78126,Woods Goa Bunglow,16,782,Entire bungalow,
"Ribandar, Goa, India",False,15.504,73.866,Room at Ribandar Hill ..Value for money 01,2,1203,Shared room in guest suite,4.2
"Arpora, Goa, India",False,15.54944,73.7637,"Paloma, Baale Resort Goa, Luxury 3 Bedroom Villa",8,1385,Private room in resort,
"Arpora, Goa, India",False,15.54762,73.76425,"Koi, Baale Resort Goa, Luxury 4 Bedroom Villa",10,1529,Private room in resort,
"Guirim, Goa, India",False,15.56865,73.8132,Super Luxury 4BHK Villa with Excellent Service,12,902,Entire villa,
"New Delhi, Delhi, India",False,28.443,77.167,Farmhouse Gardens & Swimming Pool for film shoots,6,1503,Farm stay,
"Udaipur, Rajasthan, India",False,24.49092,73.58379,Beautiful Cottage in the village of Bujera Udaipur,7,1263,Entire villa,
"Panaji, Goa, India",False,15.504,73.866,BnB with Antique furniture in River view place 02,2,1097,Private room in villa,4.83
"New Delhi, Delhi, India",False,28.495,77.136,Brookwood Gardens Wedding Venue,16,1203,Farm stay,
"Arpora, Goa, India",True,15.535,73.767,Stunning Luxury 16 bedroom Villa + Private Pool,16,1172,Entire villa,
"Kumarakom, Kerala, India",False,9.58518,76.42182,"Lakeside 20 AC Rooms In Kumarakom, Kerala, India",16,788,Farm stay,
"Anjuna, Goa, India",False,15.57058,73.7415,Private Beach Touch Villa,4,902,Entire villa,
"New Delhi, Delhi, India",False,28.49204,77.13633,Brookwood Gardens Glasshouse Party Venue,16,962,Farm stay,
"Panaji, Goa, India",False,15.49643,73.81885,A luxury heritage Goan Boutique villa in Panjim,15,1168,Private room in villa,
"Calangute, Goa, India",False,15.54723,73.76524,6BHK Celebrity Ultra Luxury Villa at Baga,14,842,Entire villa,
"Assonora, Goa, India",False,15.62133,73.89804,Valley Meadows Farm,16,1022,Room in boutique hotel,
"New Delhi, Delhi, India",False,28.43832,77.18967,Farmhouse for wedding and pre-wedding function !!!,16,1203,Farm stay,
"Gauravaddo, Calangute, Goa, India",True,15.535,73.767,Unique Breathtaking Luxury Villa with Party Room,10,888,Entire home,4.33
"Gurugram, Haryana, India",True,28.36638,77.00665,Farm resort (AC halls avb./16 rooms/40 ppl stay),16,1311,Farm stay,
"New Delhi, Delhi, India",False,28.44808,77.18313,PRE-WEDDING @ EXQUISITE PRIVATE FARM,16,1203,Farm stay,
"North Goa, Goa, India",False,15.55636,73.78057,8 Bedroom Luxury Private Pool Villa ! Breakfast,16,842,Entire villa,
"Goa, India",True,15.535,73.767,"Escape to Paradise, Your Group Getaway 12-36 Pax",16,978,Entire villa,5.0
"Abu Road, Rajasthan, India",False,24.53351,72.79282,ChaCha Villa,12,1082,Entire bungalow,
"Panjim, Goa, India",False,15.49783,73.83033,9 Luxury Heritage Boutique stay in Fontainhas Goa,16,842,Room in heritage hotel,
"Colovale, Goa, India",False,15.64852,73.81753,7 BedRoom Villa on the Chapora River in Colvale,10,962,Entire villa,4.6
"Kukas, Rajasthan, India",False,27.08777,75.88661,Natural Pearl Farms,8,842,Farm stay,
"Nandgaon, Maharashtra, India",False,18.77551,73.4101,ULTRA LUXURIOUS MANSION with Private Discotheque,16,902,Entire villa,
"Candolim, Goa, India",False,15.51716,73.76421,Ultimate 9 BHK Beach Villa on Candolim Beach,16,1153,Entire villa,
"Barashiv, Maharashtra, India",False,18.48283,72.90424,6BHK Private Villa with Infinity pool and Sea view,16,1203,Entire villa,
"Candolim, Goa, India",False,15.52253,73.76319,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Vista)",12,1143,Entire villa,5.0
"Candolim, Goa, India",False,15.5164,73.76705,Luxurious Serviced 6BHK Villa on Candolim Beach,12,798,Entire home,4.8
"Mahabaleshwar, Maharashtra, India",False,17.92426,73.73543,StayVista at Cowboy Castle -7BR w/ Panoramic View,16,784,Entire villa,
"Ambelim, Goa, India",False,15.17409,73.97429,Heritage-Portuguese Luxurious Villa in South Goa,16,902,Entire villa,
"Rishikesh, Uttarakhand, India",False,30.12978,78.3307,Shambhala by the ganges,12,1503,Entire villa,
"Delhi, India",False,28.66944,77.20366,"Private Room  For LONG STAY  with attached bath,",2,1924,Private room in bed and breakfast,
"Amritsar Cantt., Punjab, India",False,31.6253,74.8819,Walking Distance  to Golden Temple,2,36079,Room in hotel,3.75
"Lonavla, Maharashtra, India",False,18.70196,73.45204,StayVista at Vyoman,16,1481,Entire villa,
"Calangute, Goa, India",False,15.5351,73.75755,Beachfront 6+1BDR Luxury Villa With Private Pool.,12,897,Entire home,4.78
"Vijayawada, Andhra Pradesh, India",False,16.47665,80.70571,Dwaraka Residency Quad Occupancy Room,4,3041,Room in hotel,
"Moira, Goa, India",False,15.60049,73.83723,Birdsong Moira | A Unique Homestay Experience,15,962,Entire villa,
"Calangute Beach, Goa, India",True,15.54855,73.75427,"Art -inspired , Designer Calangute Beach Villa",16,782,Entire villa,
"Vijayawada, Andhra Pradesh, India",False,16.47685,80.70631,Dwaraka Residency Double Room Near Anjaneya Swamy Poranki Vijayawada,2,3033,Room in hotel,
"Goa, India",True,15.31553,73.91299,Luxury Boutique Hotel.,16,880,Room in boutique hotel,4.94
"Chennai, Tamil Nadu, India",False,12.94891,80.26171,"Vedantha@33-Beach Front Pool Villa.ECR
9884458888",16,893,Entire home,5.0
"Sangolda, Goa, India",False,15.54477,73.80395,12 Bedroom Luxurious Heritage Villa with Pool.,16,1563,Entire bungalow,
"Lonavala, Maharashtra, India",False,18.76805,73.41268,Aashiyaana Villa Heritage Luxury Villa With Pool,15,1203,Entire villa,
"Calangute, Goa, India",False,15.537,73.768,CALANGUTE 2BHK NO:8,8,3007,Entire rental unit,4.25
"Dehradun, Uttarakhand, India",False,30.31502,78.03482,"Hotel Doon's Pride, Dehradun-Superior Room",3,1581,Room in hotel,
"Dehradun, Uttarakhand, India",False,30.31512,78.03483,"Hotel Doon's Pride, Dehradun-Deluxe Room",3,1756,Room in hotel,
"Vijayawada, Andhra Pradesh, India",False,16.47528,80.70549,Dwaraka Residency Triple Room Near Anjaneya Swamy Poranki Vijayawada,3,3041,Room in hotel,
"Vagator, Goa, India",False,15.60224,73.78022,Serene Voyage 5 bhk in Assagao,14,998,Entire home,4.64
"Nilgiris, Tamil Nadu, India",False,11.33,76.803,A glamorous 4 B/R Villa with gorgeous views+BBQ,10,993,Entire villa,
"Vagator, Goa, India",False,15.59941,73.7575,Villa Azul by Lohono Stays,10,940,Entire villa,
"Mandrem, North Goa, Goa, India",False,15.66367,73.71241,Private Villa with Pool by the beach,16,902,Entire villa,3.83
"Mumbai, Maharashtra, India",False,18.92181,72.83607,54 foot 3BR Luxury Yacht Mumbai Harbour,10,1924,Boat,
"Alibag, Maharashtra, India",False,18.64594,72.89102,coconut villa 3 bhk,12,1804,Entire villa,
"Manali, Himachal Pradesh, India",False,32.2409,77.18879,"Hamsa Villas, Manali",12,1744,Entire home,4.83
"Calangute, Goa, India",False,15.53091,73.76345,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Esta)",12,1082,Entire villa,
"Ashapura, Nasirabad , India",False,26.29586,74.73548,Peeli Kothi is ideal 4 shooting with heritagelook,2,2405,Farm stay,
"Mahagaon, India",False,18.697,73.506,Cherry Flower.,16,1546,Entire bungalow,4.53
"Kihim, Maharashtra, India",True,18.73272,72.86783,14 room Luxury Beach Villa with two large Pools,16,1674,Entire villa,
"Kalwar, Rajasthan, India",False,26.98848,75.58298,"Bara Bungalow Kalwar, Jaipur (Entire Bungalow)",16,1082,Entire bungalow,
India,False,15.50182,73.81186,Eternia Villa | Exclusive Pool | Modernised | 7BHK,14,3007,Entire villa,
"Alibaug, Maharashtra, India",False,18.65904,72.87707,StayVista at Casa Bella- Luxury Villa W/Sea View,16,842,Entire villa,4.0
"Ramgarh, Uttarakhand, India",False,29.42102,79.54799,Suite 2 (The Himalayan Living Whispering Oaks),3,4381,Room in hotel,
"Janedghat, Himachal Pradesh, India",False,30.99192,77.20999,Premium Deluxe Room,3,4351,Room in hotel,
"Bujra, Rajasthan, India",False,24.561,73.637,8 rooms @Castle Oodeypore,16,962,Private room in castle,
"Ramgarh, Uttarakhand, India",False,29.42237,79.54729,Entire Suite Villa (The Himalayan Living Whispering Oaks),6,4381,Room in hotel,
"New Delhi, Delhi, India",False,28.49698,77.13752,Destination Wedding Venue,16,4209,Farm stay,
"Kolkata, West Bengal, India",False,22.516,88.351,The best place to stay in South Kolkata,4,6013,Entire condo,4.27
"New Delhi, Delhi, India",False,28.575,77.232,Defence Colony A Block Apartment with elevator.,6,4209,Entire rental unit,4.91
"Pune, Maharashtra, India",False,18.52454,73.87851,"A cozy, centrally located Bed and Breakfast",2,4269,Private room in condo,4.8
"Kasol, Himachal Pradesh, India",False,32.00977,77.31291,Balcony With Mountain View Westros Kasol,3,4470,Room in hotel,
"Patna, Bihar, India",False,25.59828,85.17635,HomesTel Non Ac Room,3,4418,Room in hotel,
"New Delhi, Delhi, India",False,28.4963,77.15165,Olive Glasshouse ~ Private Party Venue,16,4209,Entire place,
"Khoohdi, Rajasthan, India",False,26.61888,70.70844,Swiss Luxury Tent,4,4444,Room in hotel,
"New Delhi, Delhi, India",False,28.49611,77.15379,Olive 8 Glasshouse,16,3608,Farm stay,
"Bengaluru, Karnataka, India",False,13.06573,77.4722,Aalaya by Happy Retreats - Weddings-Family Getaway,15,4209,Farm stay,
"Govind Nagar, Andaman and Nicobar Islands, India",False,12.03632,92.99161,Gypsy Divers Dive Resort-Standard Room,3,5274,Room in hotel,
"Assagao, Goa, India",False,15.59992,73.77924,8 to 14 BR | Luxury | Single Key | Top Location,16,4209,Entire villa,
"Alappuzha, Kerala, India",False,9.46949,76.38729,Spice Routes Houseboats - Cinnamon,6,698,Houseboat,
"Mumbai, Maharashtra, India",True,19.16242,72.7834,Bougainvilla.. The perfect Getaway in Paradise,8,601,Entire villa,4.96
"Baga, Goa, India",False,15.56965,73.75761,Celebration: 6BHK Luxury Villa - Pool/Jaccuzi/Bar,14,661,Entire villa,5.0
"Dona Paula, Goa, India",False,15.45279,73.80111,TROPICAL VIBES 5BHK Luxury Beach House,14,660,Entire villa,4.62
"Marna, Goa, India",False,15.615,73.78,Private luxury 7BHK villa with swimming pool,16,598,Entire villa,4.8
"Assagao, Goa, India",False,15.59117,73.77654,Luxurious 5BHK Villa With a Caretaker in Assagao,15,623,Entire villa,4.33
"Anjuna, Goa, India",False,15.5804,73.75759,Pura Vida I by Hireavilla-5BR w Pvt pool in Anjuna,15,771,Entire villa,4.88
"Jaipur, Rajasthan, India",False,26.925,75.801,"Pool party, Function & Events @ Heritage Bungalow",16,567,Entire bungalow,
"Lonavala, Maharashtra, India",False,18.67386,73.39413,Falcon Hill -Infinity pool views near Lion's point,15,624,Entire villa,5.0
"Alibag, Maharashtra, India",True,18.65748,72.87744,Frangipani by Hireavilla-5BR Lux Estate in Alibaug,15,701,Entire home,4.47
"Manali, Himachal Pradesh, India",False,32.28484,77.17409,ChaletShanagManali- 4 BR Chalet,8,505,Entire chalet,4.5
"Candolim, Goa, India",True,15.52543,73.78704,Cliffhouse by Hireavilla -5BR w Pvt pool in Saipem,15,546,Entire villa,4.89
"Brittona, Goa, India",True,15.52537,73.84675,"Lux 2 Villa's with 2 cooks, Private Pool & Car",16,754,Entire villa,4.67
"Zirad, Maharashtra, India",False,18.75593,72.8881,Bougainvillea: Beautiful 6BHK Villa by Limestays,16,773,Entire villa,
"Kune N.m., Maharashtra, India",False,18.75698,73.39004,StayVista La Palm 8BR w/Pool/Steam & Sauna Room,16,579,Entire villa,
"Jaipur, Rajasthan, India",False,26.92502,75.79783,StayVista at Krishnalaya Mansion Jaipur city home!,16,524,Entire villa,4.64
"Baga, Goa, India",False,15.56983,73.75897,Serenity: 6BHK  Luxury Villa Pool/Parking (Baga),14,601,Entire villa,4.78
"Parra, Goa, India",False,15.57422,73.77815,"Deck-4 Bed-Infinity Private Pool,Arpora @North Goa",10,545,Entire villa,4.57
"New Delhi, Delhi, India",False,28.4439,77.20693,Iraluxe,4,541,Farm stay,
"Arambol, Goa, India",True,15.64017,73.71949,Exotic beachfront 6BR private pool Ashvem,16,518,Entire bungalow,
"Lonavla, Maharashtra, India",True,18.76709,73.41391,Luxury 6Bhk Crescent Private Pool Villa Lonavala,15,523,Entire home,4.56
"Bhandar Gaon, Uttarakhand, India",False,30.40678,78.08064,Luxury Garden Villa Dehradun,11,527,Entire villa,4.7
"Gurugram, Haryana, India",False,28.29159,76.93283,StayVista at The Banyan Abode w/ Pool Table & TT,16,574,Entire villa,4.57
"Anjuna, Goa, India",True,15.591741677638089,73.76814340922766,Rah - 5 BHK Luxury Villa by Vio Stays in Assagao,13,600,Entire home,
"Candolim, Goa, India",False,15.5166,73.76937,"Beutiful appartment near candolim beach, calangute",4,601,Entire rental unit,4.54
"Lonavla, Maharashtra, India",False,18.73924,73.43787,8BHK 60 ML Chalet (can accommodate 40 paxs*),16,519,Entire bungalow,5.0
"Puducherry, India",True,11.928,79.833,Villa Helena Heritage Guest House - Full Villa,16,589,Private room in bed and breakfast,
"Arpora, Goa, India",False,15.57131,73.75704,"Villa Arcadia 6BHK : Jacuzzi, Pool, Garden",14,644,Entire villa,
"Candolim , GA, India",False,15.50387,73.77057,"Casa Pelo Mar, Goa",15,704,Entire villa,5.0
"Alibag, Maharashtra, India",False,18.73712,72.87669,"The Goan Pool Villa, Amidst Mother Nature, Alibag",12,498,Farm stay,4.13
"Anjuna, Goa, India",False,15.5877,73.765,Serene Flores French Style Boutique Villa,12,553,Entire villa,
"Saligao, Goa, India",False,15.55615,73.78145,Blu Grass 7 Bedroom Holiday Villa near Calangute,14,687,Entire villa,
"Calangute, Goa, India",False,15.54714,73.7644,6BHK PRIVATE POOL BEACH VILLA @ BAGA,14,661,Entire villa,
"Calangute, Goa, India",True,15.535,73.768,Exquisite 9 Bedroom Family Style Mansion with Pool,16,531,Entire home,5.0
"Alappuzha, Kerala, India",False,9.54289,76.35456,The Rain- 3BR Luxiries w/Breakfast and Kayaking,9,515,Private room in villa,
"Achrol, Rajasthan, India",False,27.13538,75.96086,The Foothills Villas -  A nature's home in Aravali,16,722,Farm stay,
"Jaipur, Rajasthan, India",False,27.04744,75.74732,WOOD HEAVEN FARMS,16,601,Farm stay,
"New Delhi, Delhi, India",False,28.43781,77.18884,Farmhouse with pool for #photo shoot !!!,16,601,Farm stay,
"Panchgani, Maharashtra, India",False,17.93,73.804,Estella by Vista Grande,16,595,Entire villa,
"Udaipur, Rajasthan, India",False,24.5971,73.75547,10-12 person | Pool Villa | Bfast & dinner | BBQ,11,495,Farm stay,
"Kochi, Kerala, India",False,9.95954,76.23788,"Beachgate Bungalows by CGH Earth, Fort Kochi Beach",6,541,Entire home,5.0
"Calangute, Goa, India",True,15.535,73.766,Elevate your next Adventure at Villa Calangute Goa,16,502,Entire home,
"Pawas, Maharashtra, India",False,16.87067,73.31219,O'Pearl 9bhk Beach Touch Private villa with pool,16,601,Entire villa,
"Panchgani, Maharashtra, India",False,17.91824,73.80685,Dazzling Hills-Pure Veg Villa by 29Bungalow,15,550,Entire villa,
"Baga, Goa, India",False,15.56546,73.7483,5BHK Private Pool La Baga Villa at Baga,12,601,Entire villa,
"Mahabaleshwar, Maharashtra, India",False,17.92354,73.66923,Private 10 Room Farmhouse - Rare Find Mahablshwar,16,533,Entire villa,
"Jaipur, Rajasthan, India",True,26.92538,75.72046,"Executive 4 Rooms, Bath, Cook, Parking,",12,553,Entire villa,
