address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars
"Bijainagar, Rajasthan, India",False,25.913,74.591,Bijay Niwas Palace  - A Heritage hotel,15,722,Room in heritage hotel,
"Aamwala, Uttarakhand, India",True,30.36688,77.9941,"Div Estate: Wedding Venue (Aamwala, Dehradun)",10,601,Farm stay,
"Nerul, Goa, India",False,15.50773,73.80062,11BHK (5+6)LUXURY PRIVATE POOL VILLA near CANDOLIM,16,601,Entire villa,
"Gurugram, Haryana, India",False,28.35522,77.00456,VIDEO SHOOT PACKAGE,16,601,Farm stay,
"Mararikulam, Kerala, India",False,9.59906,76.3014,Ninteen People Accomodation at Mararikulam Beach,16,541,Private room in bed and breakfast,
"Alappuzha, Kerala, India",False,9.47909,76.38724,Spice Routes Houseboats - Pepper,4,534,Houseboat,
"Alappuzha, India",False,9.46065,76.39451,Spice Routes Houseboat- Saffron,2,541,Houseboat,
"Calangute, Goa, India",False,15.56914,73.75654,9 Bedroom villa with swimming pool @ Baga River,16,490,Entire villa,
"Chuchot Yakma, India",False,34.08691,77.5807,chomal huts,10,541,Private room in resort,
"Nashik, Maharashtra, India",False,20.07478,73.64144,GP Farm 8BH Villa,16,505,Private room in resort,
"Sangolda, Goa, India",False,15.54225,73.81266,Monforte Villa I by Lohono Stays,8,655,Entire home,
"Penha de França, Goa, India",False,15.544,73.817,Boohemiaa Greek Villa (With Private Pool),6,593,Entire villa,
"Kashid, Maharashtra, India",False,18.4396,72.90539,BeachO 8bhk by Unexplora,14,541,Entire bungalow,
"Gadherni, Himachal Pradesh, India",False,32.21399,77.18382,Princess Villa Manali,16,601,Room in boutique hotel,
"Lonavla, Maharashtra, India",False,18.77809,73.38887,Mountain-view - 3BR W/Swimming Pool @Geometrica,9,500,Entire villa,
"Udaipur, Rajasthan, India",False,24.63226,73.63276,The Rustic Pines,16,577,Entire chalet,
"Kumdal, Maharashtra, India",False,19.70887,73.00706,Pasiiflora (Wada),16,533,Farm stay,
"New Delhi, Delhi, India",False,28.64295,77.17428,Stay in heritage house in the heart of city,15,601,Entire home,
"Candolim, Goa, India",False,15.529,73.801,Perfect Getaway - LUX 6br+pool,16,678,Entire home,
"Varanasi, Uttar Pradesh, India",False,25.30992,82.96668,Luxurious Penthouse - 11th Floor -Pickup on demand,6,601,Entire condo,
"New Delhi, Delhi, India",False,28.49231,77.21424,★ Farmhouse for your Socially-Distanced Parties ★,10,613,Private room in farm stay,
"Kerala, India",False,11.53047,76.15498,Family superior cottage - Morning glory,4,722,Private room in bed and breakfast,
"Dona Paula, Goa, India",False,15.4557,73.79935,Villa Serene - Private pool villa,10,601,Entire villa,
"Zirad, Maharashtra, India",False,18.75338,72.9123,StayVista at Amarillo Villa- Rustic 4BR W/Pool,11,528,Entire villa,4.67
"Almora, Uttarakhand, India",False,29.70544,79.74828,Nine Furlongs - Kakarkot - The Forest Bungalow,4,532,Private room in nature lodge,
"North Goa, Goa, India",True,15.55671,73.78139,9BHK Villa for Big Groups nr Baga & Calangute,16,549,Entire home,
"Waghodia, Gujarat, India",False,22.33,73.534,The Wilderness Homestay and Farm,12,533,Farm stay,
"Ahmedabad, Gujarat, India",False,23.01665,72.37177,Kalhaar blues&greens Luxurious golf Villa(entire),6,541,Entire bungalow,
"Udaipur, Rajasthan, India",False,24.57298,73.64834,Farm Villa @ Devra udaipur- 8 rooms n pool,16,577,Entire villa,
"New Delhi, Delhi, India",False,28.43926,77.18906,Farmhouse for corporate events and pool party !!!,16,722,Farm stay,
"Coimbatore, Tamil Nadu, India",False,11.03008,76.93579,Dwaraka Inn -6BR with Luxurious Pool and Garden,16,503,Entire villa,
"Raiseena, Haryana, India",False,28.31868,77.01859,12 B.room Boutique resort with pool in Gurgaon.,16,541,Private room in resort,
"Kamshet, Maharashtra, India",False,18.74762,73.54216,"Foresta by the lake, pool, turf, game room &gazebo",16,565,Entire villa,
"Baga, Goa, India",False,15.55641,73.75528,Luxurious 5BHK Private Pool BEACH Villa @ BAGA,15,490,Entire villa,3.33
"Raigad, Maharashtra, India",False,18.4914,72.90293,By The Sea Villa.... Sea view rooms with a pool..,16,661,Entire villa,
"Jaipur, Rajasthan, India",True,26.905,75.777,Newly constructed Luxury Home: 8 Rooms: Bonfire,16,698,Entire bungalow,
"Mussoorie, Uttarakhand, India",False,30.44259,78.20533,A Luxurious Mountain Bungalow with stunning views,8,499,Entire villa,
"Chouk, MH, India",False,18.91733,73.27612,Triangle,10,558,Entire villa,
"Shahpur, Maharashtra, India",False,19.46364,73.37774,"7BR Goil Farms -Shahpur, 1.5hrs drive from Mumbai.",16,707,Entire villa,
"New Delhi, Delhi, India",False,28.58985,77.24795,Colonial Bungalow in a serene locality in Delhi,15,661,Entire bungalow,
"Mahabaleshwar, Maharashtra, India",False,17.92718,73.67217,Horizon 360 - Pet friendly villa for family,15,548,Entire villa,
"Reis Magos, Goa, India",False,15.507,73.812,Luxurious 5+1 bhk villa with pool on river bank.,12,541,Entire villa,
"Kumarakom, Kerala, India",False,9.58526,76.42267,5 Lakeside Villas For Up To 27 Person In Kumarakom,16,601,Entire villa,
"Aundholi, Maharashtra, India",False,18.70868,73.46052,9bhk Vibhati Resort  for Large group And Events.,16,567,Private room in resort,
"Calangute, Goa, India",False,15.53888,73.76503,The Baga Beach Villa 5BHK with Private Pool,15,601,Entire villa,
"Calangute, Goa, India",True,15.533,73.762,7BHK Beach Villa with Private Pool,16,545,Entire villa,4.93
"Bagru, Rajasthan, India",False,26.78134,75.52838,Haveli Anirudh 7 BR with Pool near Jaipur,16,524,Farm stay,
"Narendra Nagar, Uttarakhand, India",False,30.13509,78.30805,Pushp Villa at Amayaah Resorts,6,706,Private room in resort,
"Candolim, Goa, India",True,15.51971,73.77465,2 Private Pool Villa's in Candolim - Pvt Cook,16,561,Entire home,4.33
"Assagaon, Goa, India",False,15.60493,-73.75071,Villa Evora by Lohono Stays,10,640,Entire villa,
"Assagao, Goa, India",False,15.602,73.783,The Project Cafe - Portuguese Villa,13,541,Entire villa,
"Kune N.m., Maharashtra, India",False,18.77096,73.37924,PALACiO - 6BHK Mansion,16,598,Entire villa,
"Vagator, Goa, India",True,15.59441,73.74917,12 Bedroom Heritage+ Boutique stay+ Vagator,16,661,Entire villa,
"Dabolim, Goa, India",False,15.37225,73.89023,"""Splendid 3 BHk Apartments with Pool & Seaview!""",7,601,Entire condo,2.33
"Kasauli, Himachal Pradesh, India",False,30.90024,76.96419,Exotic Farm house |6 Acre | Orchards | AC |Solan,16,601,Farm stay,
"Tangmarg, Jammu and Kashmir, India",False,34.03872933356943,74.40793628793006,StayVista at Frosty @ Frozen Fall - Drung,10,716,Private room in villa,
"Tilase, Maharashtra, India",False,19.64953,73.2105,The Purple Lotus,16,661,Farm stay,
"Colovale, Goa, India",False,15.65007,73.81935,5 BedRoom Villa on the Chapora river in Colvale,8,722,Entire villa,4.73
"Candolim, Goa, India",False,15.51608,73.78854,CHIKOO SKY New 5BHK Villa Private Pool Candolim,14,550,Entire villa,4.7
"Udaipur, Rajasthan, India",True,24.54901,73.67723,Anagha Homestay,16,490,Entire bungalow,4.91
"Virajpet, Kodagu, KA, India",False,12.19751,75.8028,Villa Magnolia - on a coffee plantation,8,601,Entire bungalow,4.42
"North Goa, Goa, India",False,15.499,73.779,Ziva villa with a private pool,16,541,Entire home,4.57
"Mahabaleshwar, Maharashtra, India",False,17.966,73.663,Super Premium Bungalow with Pool | Mahabaleshwar,12,723,Entire villa,
"Nashik, Maharashtra, India",False,20.01012,73.66948,StayVista at Villa Meer - 6BR w/ Pool & Huge Lawn,16,505,Entire villa,4.25
"Lonavala, Maharashtra, India",False,18.75271,73.40711,7BR w/ swimming pool & pool table @ Mehta Mansion,16,530,Private room in villa,4.33
"Khandala, Maharashtra, India",False,18.75518,73.3726,Belle Vue Cottage - Luxury Victorian Property,16,503,Entire bungalow,4.85
"Bengaluru, Karnataka, India",False,12.78803,77.66133,White Escape Sky Villa Penthouse,15,577,Entire rental unit,4.67
"Zirad, Maharashtra, India",False,18.75464,72.88832,Zen Villa: Luxury 5BHK Farmhouse by Limestays,16,558,Entire villa,4.33
"Chennai, TN, India",False,12.86294,80.24809,Regal Juhu villa by the beach Chennai.,10,722,Entire home,
"Ernakulam, Kerala, India",False,9.89654,76.33206,976 Panangad,8,661,Entire villa,
"Lonavala, Maharashtra, India",False,18.77183,73.39347,StayVista at Ayurkutir Villa - 9 BR,16,612,Entire villa,
"Gurugram, Haryana, India",False,28.42572,77.03501,"Ultra luxurious Penthouse ,5 star facilities",10,678,Entire rental unit,
"Calangute, Goa, India",False,15.53583,73.77486,Summertime - an award winning luxury villa in Goa,7,577,Entire place,4.73
"North Goa, Goa, India",False,15.552,73.767,7 Bedroom Luxury Villa + Private Pool + Beach near,16,549,Entire villa,4.84
"New Delhi, Delhi, India",False,28.47924,77.15245,4bhk Luxury FarmVilla,8,679,Entire villa,
"Alappuzha, Kerala, India",False,9.54264,76.35528,"The Rain 4BHK w/Breakfast, Kayaking & Infinty Pool",12,548,Entire villa,4.85
"Bardez, Goa, India",False,15.59979,73.73982,Boutique 6BHK wit PrivatePool-PartyArea in Vagator,16,605,Entire villa,
"BARDEZ, Goa, India",False,15.52367,73.84667,6 Room Villa in Britona on the Mandovi River,10,722,Entire villa,4.63
"Sangolda, Goa, India",False,15.53822,73.81759,8 Rooms | 2 Villas | 1 Private Pool | Fab Views,16,722,Entire villa,4.67
"Lonavala, Maharashtra, India",False,18.75566,73.39192,"Villa 41- 6BR w/Pool, Poker table & Lawn",16,619,Entire villa,
"Nerul, Goa, India",True,15.51149,73.78643,7BR Super Luxury Villa • 2 Private Pool • Candolim,16,731,Entire villa,
"Aldona, Goa, India",True,15.59977,73.87164,4 Bhk Heritage home with big Pool-The Aldona House,10,722,Entire home,4.9
"Chennai, Tamil Nadu, India",True,12.74715,80.24307,Villa Waves - Bali Beach Villa on ECR near Kovalam,6,515,Entire villa,4.94
"Nerul, Goa, India",False,15.5003,73.79552,4BHK PRIVATE POOL + SEA VIEW + CARETAKER -CANDOLIM,12,495,Entire villa,4.31
"Garat Pur Bas, Haryana, India",False,28.32043,77.02146,The Bistendu Resort - Private Boutique Resort 7bhk,16,490,Room in boutique hotel,4.75
"Vadanemmeli, Tamil Nadu, India",True,12.74755,80.2436,Villa Aqua -Luxury Beach villa on ECR near Kovalam,10,722,Entire villa,4.83
"Nerul , Goa, India",False,15.50249,73.79117,Sunscape - Sea view 3bhk luxury apartment,6,692,Entire rental unit,5.0
"Nerul, Goa, India",False,15.50076,73.80018,Sea View Villa with infinity pool,10,601,Entire villa,5.0
"Candolim, Goa, India",False,15.51254,73.76794,"3BHK, Pvt pool, nr Beach Larisa Candolim Lux Villa",9,513,Entire home,4.77
"Dona Paula Beach, Goa, India",False,15.45413,73.83351,Luxe Private Pool Sea View villa,12,512,Entire villa,4.83
"Mandrem, North Goa, Goa, India",False,15.66473,73.71201,Private Villa with living room and private pool,15,711,Entire villa,3.71
"Reis Magos, Goa, India",False,15.49681,73.80242,DOLPHIN HEIGHTS 5BHK Sea View Pool Villa Candolim,14,498,Entire villa,4.73
"Lonavla, Maharashtra, India",False,18.76465,73.38206,Gardenview Aurus Grande - 5BR W/Pool & Pool table,15,636,Entire villa,4.55
"Assagao, Goa, India",False,15.59308,73.77637,Luxurious 5BHK Villa With a Caretaker in Assagao,15,498,Entire villa,4.88
"North Goa, Goa, India",True,15.535,73.767,Indulgent Elegant with Luxury Villa Private Pool,16,775,Entire home,4.8
"Alappuzha, Kerala, India",False,9.4925,76.39202,Spice Routes Houseboats - Clove,6,698,Houseboat,
"Aryad South, Kerala, India",True,9.52124,76.35633,9bedroom premium houseboat,16,728,Houseboat,
"Candolim, Goa, India",True,15.526,73.787,VILLA NO 6(nearly a acre plot)with a pool,13,722,Entire villa,5.0
"Gurgaon, HR, India",True,28.37695,77.07406,Chopra Farms Gurgaon-Private 5bhk Farm Villa,16,481,Farm stay,4.86
"Saligao, Goa, India",False,15.54588,73.78839,7BHK Casa-de-Flora Villa with Large private Pool,16,481,Entire villa,
"Gurgaon, Haryana, India",False,28.27546,76.85812,"Ivy Bridge- Luxurious, Green with Pool & Jacuzzi",14,447,Farm stay,4.5
"Barashiv, Maharashtra, India",False,18.49095,72.90269,O'NEST By The Beach 8bhk villa with private pool,16,481,Private room in resort,
"Lonavla, Maharashtra, India",False,18.77835,73.38543,5 Beds Luxury Private Pool Villa in Khandala,15,447,Entire villa,4.25
"Vagator, Goa, India",True,15.604,73.752,Assagao Luxury Heritage Goan Villa with Pvt Pool,14,477,Entire villa,4.88
"Calangute, Bardez North Goa, India",True,15.53535,73.7681,6-10BR Priv. Villa + POOL | B'FAST | STAFF | COOK,16,680,Entire villa,
"Alibag, Maharashtra, India",False,18.791,72.882,"Arabella, 4BR Luxury Pool Villa Near Mandwa Jetty",16,458,Entire villa,
"Bengaluru, Karnataka, India",False,13.13812,77.53386,Mi Casa by Chazing Purple,10,481,Farm stay,3.33
"Panchgani, Maharashtra, India",False,17.92529,73.76488,Tudor Rose - Swiss chalet with Tudor styled facade,12,474,Entire villa,4.75
"Goa, India",False,15.49949,73.7951,4bhk Sea View Villa @reismagos Candolim,12,457,Entire home,
"Candolim, Goa, India",False,15.51924,73.76495,"Luxury Serviced Beach House on Candolim Beach, Goa",9,480,Entire villa,4.36
"Chennai, Tamil Nadu, India",False,12.88,80.24946,Khushana  Villa  by Baywatchstayzz,8,442,Entire villa,
"Assagao, Goa, India",True,15.601,73.783,Luxe 5 BR heritage pool villa,10,457,Entire villa,4.75
"Haryana, India",False,28.37241,77.05293,Jain Farms,16,447,Farm stay,
"Goa, India",False,15.5421,73.81115,4BR Casa Do Amor Pvt Pool & Breakfast,11,480,Entire villa,
"Mirik, West Bengal, India",True,26.88462,88.18305,"Birdsong Home, entire bungalow with terrace, deck",14,457,Entire bungalow,4.6
"Vagator, Goa, India",False,15.5949,73.75217,LaMaroma | Luxurious villa|Caretaker| Pvt Pool| DG,7,477,Entire home,
"Udaipur, Rajasthan, India",False,24.4972,73.68054,Beautiful Villa for a luxurious stay,9,421,Entire villa,
"North Goa, Goa, India",False,15.55815,73.77549,4BR Pvt Pool Villa With Chef - WiFi - North Goa,16,481,Entire villa,
"Anjuna, Goa, India",False,15.6,73.747,LaSierra | 3bhk | Cosy Pvt Pool Villa | Breakfast,7,468,Entire home,4.88
"Manali, Himachal Pradesh, India",False,32.25024,77.17428,StayVista @The Lama House 6BR w/Bonfire+Lawn+View,16,448,Entire villa,
"Hosur , Tamil Nadu, India",False,12.801,77.829,"4 LuxuryTents w/ AC, Private Pool, BBQ",16,459,Tent,
"Ashvem Beach, Goa, India",True,15.64196,73.71895,Private cottages - Beachfront boutique resort,14,463,Hut,
"Anjuna, Goa, India",False,15.58744,73.74278,Pura Vida II by Hireavilla-3BR w Pool in Anjuna,9,392,Entire villa,4.79
"Candolim, Goa, India",False,15.51186,73.76857,4BHK Rosette Villa with Private Pool at Candolim,10,457,Entire villa,
"Assagao, Goa, India",False,15.59817,73.7845,Daaya Luxury Private Pool 3BHK Villa at Assagao,6,451,Entire villa,
"Rishikesh, Uttarakhand, India",False,30.1241,78.30721,Luxury Cottages | 4 Bedrooms | Scenic Views,11,449,Entire cottage,
"Manali, Himachal Pradesh, India",False,32.24638,77.18152,perfect cottage 1 km from mall road,12,481,Private room in bed and breakfast,
"Gurugram, Haryana, India",False,28.27229,76.85969,4 Bedroom Boutique Farmhouse With Common Pool,12,421,Entire villa,4.54
"Mumbai, MH, India",True,19.1303,72.81246,Versova beach sunset with Mumbai coastline view,4,428,Entire condo,4.8
"Navelim, Goa, India",False,15.25535,73.9238,1BHK AC Room With Swimming pool,3,722,Room in serviced apartment,4.84
"Kune N.m., Maharashtra, India",False,18.76399,73.39248,Myna Villa I,16,397,Entire villa,3.25
"Haleyangadi, Karnataka, India",False,13.04605,74.78076,Mangalore Beach House: Villa Elegance,16,481,Entire villa,
"Mumbai, Maharashtra, India",False,19.19027,72.83503,Kalpataru Hometel - best AC BNB rooms in malad,16,481,Private room in bed and breakfast,
"Dodamarg Maharashtra, India",False,15.68105,74.05407,Shivaaz Holiday Farms - Near Mopa Airport Goa,16,463,Farm stay,
"Rishikesh, Uttarakhand, India",False,30.10242,78.29796,Meeram Ganga-Riverside boutique stay in Rishikesh,16,445,Room in boutique hotel,
"Palampur, Himachal Pradesh, India",False,32.11185,76.53686,4 Bed room boutique villa/ Private Butler,10,460,Entire villa,
"Kochi, Kerala, India",False,9.9695,76.24438,Sea facing Deluxe Suites in Fort Kochi - CGH Earth,2,448,Room in boutique hotel,
"Alappuzha, Kerala, India",False,9.46028,76.36189,Luxury five bedroom private houseboat,15,468,Boat,5.0
"Varanasi, Uttar Pradesh, India",False,25.30747,83.00868,"BrijRama Palace, Experience Heritage with luxury.",2,461,Room in heritage hotel,
"Khingar, Maharashtra, India",False,17.90655,73.82809,Rustik Highland Villa,12,463,Entire villa,
"Udaipur, Rajasthan, India",True,24.57761,73.68657,The Neem Tree Udaipur Boutique Retreat,16,481,Room in boutique hotel,
"Kanthavli, Maharashtra, India",False,18.89997,73.0476,5 Bed Lavish Indoor Pool Villa on Rent near Panvel,16,481,Entire villa,
"Lonavla, Maharashtra, India",False,18.7836,73.45572,Casa di Vetro by Lifestyle Villa-4bhk Luxury Villa,15,393,Entire villa,
"Penha de França, Goa, India",False,15.55129,73.81805,Dear Zindagi Villa !,10,481,Entire villa,
"Kodaikanal, Tamil Nadu, India",False,10.26,77.478,"Le Mistral, Kodai - Luxury Villa",12,476,Entire home,4.67
"Candolim, Goa, India",True,15.519,73.775,"3BD Pool Villa w/cook,5 Mins to Candolim Beach",8,416,Entire villa,4.94
"Anjuna - Vagator, Goa, India",False,15.603,73.752,LaViola-3bhk Lovely Private Pool Villa with Genset,7,410,Entire home,4.73
"Verla, Goa, India",True,15.585,73.793,VILLA LOU GOA 1903 Heritage House withPrivate Pool,12,419,Entire villa,5.0
"Kothali, Uttarakhand, India",False,30.22123,79.366,Kothli Hills,10,460,Private room in earthen home,
"Candolim, Goa, India",False,15.51255,73.76818,"White Banyan - 5 bed, Private pool, Beach access",10,601,Entire villa,4.4
"Jaipur, Rajasthan, India",False,26.82116,75.70489,Luxury Villa with personal pool,6,421,Entire villa,4.33
"Amritsar, Punjab, India",False,31.693,74.811,Spring Gardens & Farmstay Amritsar,16,481,Farm stay,5.0
"Mumbai, Maharashtra, India",False,19.14991,72.89329,VILLA HOLLYWOOD WITH PRIVATE POOL & HUGE TERRACE.,16,481,Private room in villa,
"Puthenvelikara, Kerala, India",False,10.18,76.236,Madilina House,10,409,Entire villa,4.92
"Ramnagar, Uttarakhand, India",False,29.33,79.049,"Jaagar - A Family Retreat in Corbett, Ramnagar",12,481,Room in resort,4.67
"Lonavla, Maharashtra, India",False,18.76402,73.50148,6 BHK Private Pool Villa - Alpine Riverhill Villa,16,429,Entire villa,
"Pawna, Maharashtra, India",False,18.64502,73.50265,Blue Infinitum - Pool villa with 180° view of lake,16,434,Entire villa,5.0
"Lonavla, Maharashtra, India",False,18.74584,73.4121,"Luxurious 5bhk bunglow ""60 ML Chalet "" Max 35 ppl",15,397,Entire bungalow,4.83
"Parra, Goa, India",False,15.57267,73.77863,Luxury Boutique villa w/Pool in North Goa,12,421,Entire villa,4.83
"Bangalore Urban, Karnataka, India",False,13.18346,77.57569,"Surabhi Villa, off Airport Road, Bangalore",10,481,Entire home,5.0
"Lonavala, Maharashtra, India",False,18.76598,73.38261,Whitehorse Villa,16,419,Entire bungalow,4.67
"Gurugram, Haryana, India",False,28.41086,77.11119,Corbett Caravan Holidays in India by RV On,4,481,Camper/RV,
"Bani Park, Rajasthan, India",False,26.925,75.801,Wedding @ Bungalow with Garden & Pool,16,481,Castle,
"Agra, Uttar Pradesh, India",True,27.14421,78.04574,Two rooms set with rooftop garden,4,481,Private room in home,4.57
"Mussoorie, Uttarakhand, India",False,30.45416,78.08309,Raghu Niwas - Your home in the hills,16,475,Room in boutique hotel,5.0
"Dehradun, Uttarakhand, India",True,30.4101,78.06086,The Bluedoor Luxury Villa close to Mussoorie,12,481,Entire vacation home,
